Id,day_of_week,avg_total_steps,avg_calories_burned,avg_very_active_mins,avg_fairly_active_mins,avg_lightly_active_mins,avg_sedentary_mins
3372868164,Thursday,7737.666666666667,2053.6666666666665,8.0,11.333333333333332,377.0,1043.6666666666667
8792009665,Friday,4970.333333333333,2509.6666666666665,2.333333333333333,11.333333333333334,233.66666666666666,796.0
6962181067,Friday,8239.5,1986.5,10.5,12.0,281.25,714.5
7007744171,Friday,13024.5,2680.0,40.75,26.25,273.0,1100.0
2873212765,Friday,7549.0,1998.5,16.5,7.0,347.5,1069.0
2347167796,Friday,9134.5,2039.5,5.0,25.5,245.0,750.5
4388161847,Friday,10826.0,3253.5,30.75,21.5,254.25,1014.25
8583815059,Friday,8282.0,2911.25,13.0,35.75,175.25,1216.0
7007744171,Saturday,5495.0,2137.0,0.66666666666666674,8.3333333333333339,208.66666666666666,1195.0
3372868164,Saturday,6517.0,1949.6666666666667,12.333333333333332,2.0,319.66666666666669,1106.0
8792009665,Saturday,6209.5,2822.0,9.0,32.5,266.5,772.0
8877689391,Sunday,13352.0,3158.25,43.75,8.0,236.25,1152.0
4388161847,Sunday,10614.0,3079.25,33.25,15.25,214.75,615.0
2873212765,Sunday,6241.0,1815.5,24.75,6.75,218.0,1190.5
2320127002,Monday,4217.75,1700.5,2.0,4.5,170.0,1263.5
5553957443,Monday,9013.25,1996.0,33.25,10.5,221.25,686.25
4319703577,Tuesday,9142.4,2209.2,3.8,11.8,243.0,783.4
4445114986,Tuesday,4616.6,2192.0,11.8,0.6,192.2,805.8
1644430081,Tuesday,10777.2,3149.0,8.0,52.6,226.6,1152.8
6775888955,Tuesday,7091.0,2584.0,42.0,30.0,47.0,1321.0
4388161847,Tuesday,10558.0,3050.0,13.0,14.2,209.2,889.8
3372868164,Tuesday,6913.666666666667,1943.3333333333333,7.3333333333333339,0.66666666666666674,329.66666666666669,1102.3333333333333
4319703577,Wednesday,9499.2,2238.6,5.0,22.2,265.2,853.0
1624580081,Wednesday,5135.0,1450.8,3.4,7.2,136.6,1292.8
5553957443,Wednesday,5451.6,1720.2,3.2,3.2,199.8,653.8
8583815059,Wednesday,7121.4,2752.6,16.8,25.2,127.2,1254.6
4445114986,Wednesday,4860.8,2199.8,13.2,4.6,187.4,807.8
4319703577,Friday,6919.5,2078.0,3.25,12.0,251.75,694.25
4558609924,Friday,7246.0,1963.75,13.0,21.0,233.5,1146.75
8253242879,Friday,3918.666666666667,1712.3333333333333,5.3333333333333339,4.666666666666667,120.33333333333333,1304.0
7086361926,Saturday,10068.0,2566.3333333333335,20.666666666666668,19.666666666666668,202.33333333333334,851.66666666666663
4319703577,Saturday,6459.25,2019.75,2.25,16.5,225.5,637.75
1624580081,Saturday,5621.5,1538.5,2.75,5.75,202.25,1229.25
3977333714,Saturday,12576.25,1621.75,18.5,78.25,201.75,694.25
7086361926,Sunday,8862.3333333333339,2437.6666666666665,20.666666666666668,14.0,176.66666666666666,648.66666666666663
8378563200,Sunday,5049.25,2841.75,17.75,2.5,123.5,655.75
8583815059,Sunday,6255.75,2716.0,3.7500000000000004,29.5,126.25,1280.5
1927972279,Monday,3790.0,2505.0,16.0,8.0,94.0,1322.0
3977333714,Wednesday,10611.25,1513.5,11.75,62.5,158.75,791.25
4020332650,Wednesday,6970.5,3262.0,7.5,27.0,240.0,913.5
4445114986,Thursday,4019.0,2166.75,0.5,1.5,216.75,742.25
1644430081,Thursday,8268.3333333333339,2932.3333333333335,4.666666666666667,41.0,186.66666666666666,1207.6666666666667
4020332650,Thursday,11728.0,3429.0,38.0,42.0,196.0,916.0
6775888955,Friday,4697.0,2496.0,12.0,35.0,75.0,1318.0
4445114986,Saturday,4928.25,2203.75,6.5000000000000009,1.0,206.0,904.5
5553957443,Sunday,5623.5,1754.5,1.5,4.0,223.5,470.5
8583815059,Tuesday,8293.0,2893.8,3.4,30.200000000000003,147.6,1258.8
4057192912,Tuesday,5394.0,2286.0,0.0,0.0,164.0,1276.0
1624580081,Tuesday,3794.8,1399.2,0.0,0.0,132.4,1307.6
6290855005,Tuesday,5917.0,2690.0,0.0,0.0,253.33333333333334,1186.6666666666667
8792009665,Tuesday,2492.5,2170.5,0.0,0.0,136.0,785.0
1844505072,Tuesday,5378.0,1886.0,0.0,0.0,261.5,1178.5
1844505072,Wednesday,3504.5,1704.5,0.0,0.0,167.5,1272.5
2320127002,Wednesday,6963.666666666667,1942.6666666666667,0.0,3.666666666666667,306.0,1130.3333333333333
6290855005,Wednesday,6225.0,2766.75,0.0,0.0,291.75,1148.25
4057192912,Wednesday,5974.0,2306.0,0.0,0.0,160.0,1280.0
2026352035,Wednesday,6689.4,1627.4,0.0,0.0,305.2,594.2
6290855005,Thursday,6580.333333333333,2773.6666666666665,0.0,0.0,285.66666666666669,1154.3333333333333
1927972279,Thursday,2163.0,2383.0,0.0,9.0,88.0,1292.0
2320127002,Thursday,3810.0,1552.75,0.25,5.25,167.25,1146.75
2026352035,Thursday,6647.0,1548.0,0.0,0.0,299.8,567.4
1624580081,Thursday,4731.2,1362.4,0.0,1.0,152.2,1198.2
6290855005,Friday,7285.0,2832.6666666666665,0.0,0.0,311.66666666666669,1128.3333333333333
4445114986,Friday,5804.75,2333.75,0.0,0.0,280.5,833.0
2026352035,Friday,5634.5,1567.75,0.0,0.0,271.25,600.5
1844505072,Friday,4712.0,1802.6666666666667,0.0,0.0,214.33333333333334,943.0
6117666160,Friday,8795.5,2418.0,0.0,1.5,377.25,621.5
3372868164,Friday,6809.6666666666661,1873.6666666666667,0.0,0.0,314.33333333333331,1125.6666666666667
2320127002,Friday,5222.0,1798.0,0.0,0.0,238.33333333333334,1201.6666666666667
1844505072,Saturday,3666.0,1688.3333333333333,0.0,0.0,156.66666666666666,937.33333333333337
2026352035,Saturday,5956.5,1571.5,0.0,0.0,261.0,611.25
2320127002,Saturday,5521.5,1819.75,0.0,0.0,247.5,1175.25
6290855005,Saturday,6851.666666666667,2746.3333333333335,0.0,0.0,269.66666666666669,1170.3333333333333
8583815059,Saturday,7736.0,2919.75,2.25,18.0,201.25,1218.5
5553957443,Saturday,4941.5,1803.5,0.0,0.0,280.0,482.0
6117666160,Sunday,7754.0,2285.25,0.0,0.0,347.25,613.75
2320127002,Sunday,5174.666666666667,1799.3333333333333,0.0,0.0,233.33333333333334,1206.6666666666667
7007744171,Sunday,8248.0,2425.0,0.0,0.0,320.33333333333331,1099.3333333333333
4445114986,Sunday,4951.25,2212.25,0.0,2.0,226.5,972.25
6290855005,Monday,6936.25,2609.25,2.0,0.75,263.0,1080.25
1844505072,Monday,4597.0,1814.0,0.0,12.0,217.0,1211.0
6117666160,Monday,4854.333333333333,1770.0,0.0,0.0,224.66666666666666,696.0
2026352035,Monday,6761.25,1638.5,0.0,0.0,299.5,785.5
6117666160,Tuesday,10339.0,2528.0,0.0,3.5,416.0,751.0
8792009665,Wednesday,2715.0,2127.5,0.0,5.0,134.0,796.0
1624580081,Friday,3208.0,1437.0,0.0,0.0,174.5,1265.5
1927972279,Saturday,2945.0,2499.0,0.0,0.0,145.0,1295.0
2347167796,Sunday,7471.5,2034.5,0.5,3.5,304.5,546.0
2026352035,Sunday,4209.0,1467.6666666666667,0.0,0.0,204.33333333333334,676.66666666666663
6962181067,Sunday,6204.0,1782.75,1.25,6.75,215.0,696.25
4319703577,Monday,7793.5,2140.25,0.75,10.5,291.5,610.75
2873212765,Monday,7596.5,1895.25,0.25,3.25,337.25,1099.25
1927972279,Tuesday,3761.0,2638.0,0.0,0.0,192.0,1058.0
6117666160,Wednesday,7619.0,2338.0,8.6666666666666661,3.333333333333333,321.0,761.0
8792009665,Thursday,6157.0,2780.0,0.0,0.0,310.0,714.0
1844505072,Sunday,3549.0,1667.0,1.0,7.5,137.0,908.0
4020332650,Tuesday,6193.6666666666661,3136.0,1.3333333333333333,5.0,237.0,812.0
4020332650,Friday,4369.0,2704.0,0.0,0.0,177.0,855.0
1927972279,Friday,2091.0,2383.0,0.0,0.0,108.0,1332.0
4020332650,Saturday,6132.0,2975.0,0.0,0.0,184.0,1256.0
4319703577,Sunday,3876.5,1836.0,0.5,2.5,172.0,647.5
4020332650,Sunday,5862.0,3089.0,0.0,0.0,263.0,775.0
4702921684,Friday,7793.0,2973.3333333333335,4.666666666666667,14.333333333333334,243.33333333333334,772.66666666666663
1927972279,Sunday,2397.0,2367.5,7.5,3.5,72.5,1356.5
4020332650,Monday,4556.0,2785.0,3.0,5.0,173.0,1225.0
